,close,high,low,open,volume
2015-02-09,2366.77,2392.82,2311.8,2319.24,7390338300.0
2015-02-10,2403.55,2409.02,2355.14,2363.16,6886203100.0
2015-02-11,2415.13,2423.35,2395.2,2408.08,5053898300.0
2015-02-12,2416.45,2425.64,2384.49,2415.14,6066235800.0
2015-02-13,2427.47,2464.08,2415.43,2426.95,8379347900.0
2015-02-16,2431.21,2437.84,2413.6,2427.17,6260811600.0
2015-02-17,2445.26,2464.52,2437.69,2437.69,6001057300.0
2015-02-25,2407.46,2448.2,2395.53,2448.2,6398738400.0
2015-02-26,2478.06,2482.44,2382.69,2401.14,9470706200.0
2015-02-27,2474.59,2498.7,2466.83,2476.49,8565192300.0
2015-03-02,2479.24,2498.72,2459.42,2495.57,8805251800.0
2015-03-03,2396.8,2462.0,2395.83,2462.0,9127474200.0
2015-03-04,2397.99,2416.22,2378.93,2403.86,6429528500.0
2015-03-05,2366.9,2382.89,2344.95,2379.73,7777330000.0
2015-03-06,2371.62,2393.74,2366.02,2370.89,6480420500.0
2015-03-09,2429.87,2443.2,2321.26,2352.22,10619571600.0
2015-03-10,2395.43,2424.15,2390.6,2413.84,7843558600.0
2015-03-11,2408.5,2444.66,2399.54,2401.26,7007419000.0
2015-03-12,2485.11,2505.63,2423.43,2444.41,12477820100.0
2015-03-13,2495.28,2532.15,2477.4,2494.34,10420594100.0
2015-03-16,2550.86,2551.45,2485.29,2512.35,10413208200.0
2015-03-17,2583.2,2586.43,2556.47,2576.41,13209205200.0
2015-03-18,2649.64,2649.82,2592.26,2595.74,14795882100.0
2015-03-19,2630.24,2649.0,2613.76,2649.0,13359586800.0
2015-03-20,2680.68,2710.13,2617.07,2642.8,15375499400.0
2015-03-23,2720.67,2724.64,2690.48,2700.16,14209193500.0
2015-03-24,2683.65,2720.03,2649.62,2719.51,15361757900.0
2015-03-25,2649.16,2691.24,2626.66,2674.35,13227039900.0
2015-03-26,2687.76,2714.63,2621.45,2637.53,13344292500.0
2015-03-27,2689.24,2715.01,2664.86,2693.19,11986937400.0
2015-03-30,2784.46,2793.41,2704.8,2716.43,18138365900.0
2015-03-31,2754.66,2860.24,2744.93,2826.63,17583371800.0
2015-04-01,2799.45,2810.65,2751.37,2758.96,12528132200.0
2015-04-02,2781.64,2824.82,2746.3,2821.21,12218473400.0
2015-04-03,2817.18,2817.62,2764.35,2771.03,11296925100.0
2015-04-07,2889.45,2889.86,2838.89,2854.41,16013944200.0
2015-04-08,2952.08,2960.65,2879.97,2907.58,17985383700.0
2015-04-09,2931.77,3021.85,2914.7,2973.81,17676448300.0
2015-04-10,2986.61,2992.41,2911.46,2925.93,14121595800.0
2015-04-13,3041.13,3059.78,3016.97,3040.01,16933958300.0
2015-04-14,3052.41,3074.67,3013.31,3057.41,16230036200.0
2015-04-15,3053.3,3119.48,3039.26,3054.02,17902592900.0
2015-04-16,3183.3,3183.58,3033.25,3045.85,17196755400.0
2015-04-17,3235.33,3271.57,3216.21,3251.98,20765993400.0
2015-04-20,3164.46,3296.18,3146.84,3267.85,26597612700.0
2015-04-21,3214.36,3214.89,3135.22,3163.29,18442769200.0
2015-04-22,3299.22,3300.84,3204.44,3219.7,20173807100.0
2015-04-23,3273.4,3313.81,3245.76,3311.07,17713793100.0
2015-04-24,3223.96,3250.23,3161.97,3226.38,18513593600.0
2015-04-27,3308.45,3313.25,3257.97,3257.97,20026697500.0
2015-04-28,3282.33,3370.03,3255.77,3309.53,26604285900.0
2015-04-29,3283.28,3304.71,3243.54,3268.52,14666628500.0
2015-04-30,3250.49,3309.42,3249.25,3290.58,14628827900.0
2015-05-04,3272.01,3273.15,3204.31,3250.13,13327095300.0
2015-05-05,3148.81,3270.96,3132.94,3266.81,17060778100.0
2015-05-06,3139.02,3244.6,3110.11,3175.89,14799113800.0
2015-05-07,3094.88,3142.14,3093.73,3116.79,10944092900.0
2015-05-08,3110.45,3138.66,3045.01,3126.0,10327816500.0
2015-05-11,3169.13,3169.87,3075.2,3112.24,13376665900.0
2015-05-12,3188.31,3200.18,3136.46,3162.67,13081305400.0
2015-05-13,3141.3,3188.96,3122.34,3188.06,11730550400.0
2015-05-14,3128.57,3153.75,3107.68,3136.13,10533870600.0
2015-05-15,3060.41,3124.61,3044.85,3122.89,10999319500.0
2015-05-18,2998.39,3045.59,2997.13,3032.71,8704172400.0
2015-05-19,3116.09,3127.0,2996.72,2996.84,11120662700.0
2015-05-20,3122.85,3181.54,3105.63,3127.57,12455733200.0
2015-05-21,3150.9,3156.49,3111.0,3132.34,9475578400.0
2015-05-22,3248.86,3249.52,3170.45,3180.39,15002110400.0
2015-05-25,3349.95,3350.52,3263.96,3263.96,15858571000.0
2015-05-26,3386.59,3390.29,3320.15,3382.76,14789468400.0
2015-05-27,3344.74,3404.76,3327.24,3390.98,14747053900.0
2015-05-28,3124.62,3350.22,3120.97,3336.7,17825520600.0
2015-05-29,3111.33,3161.58,3036.96,3127.64,13378440400.0
2015-06-01,3244.32,3250.61,3082.16,3114.79,14102337300.0
2015-06-02,3258.31,3269.22,3201.22,3240.8,13480053300.0
2015-06-03,3238.43,3259.71,3193.54,3251.91,12830697700.0
2015-06-04,3299.03,3316.5,3113.22,3244.46,18456793900.0
2015-06-05,3303.99,3365.59,3234.25,3349.57,18814564800.0
2015-06-08,3458.71,3469.22,3308.3,3333.83,24825404200.0
2015-06-09,3414.0,3494.82,3376.02,3494.82,22044856100.0
2015-06-10,3370.38,3415.28,3338.68,3362.81,15529469100.0
2015-06-11,3347.12,3383.49,3313.59,3369.0,13807384800.0
2015-06-12,3350.25,3374.82,3319.2,3364.44,14526225500.0
2015-06-15,3262.48,3366.84,3254.62,3359.71,16732255900.0
2015-06-16,3179.65,3275.47,3149.08,3233.15,15596989800.0
2015-06-17,3211.71,3222.44,3144.49,3198.14,15957156300.0
2015-06-18,3068.49,3183.23,3067.49,3183.23,13734504200.0
2015-06-19,2903.06,3067.82,2900.79,3030.22,13178392400.0
2015-06-23,3003.16,3007.63,2822.47,2907.07,13561764400.0
2015-06-24,3045.24,3052.11,2962.65,3009.77,14158588200.0
